english,synonym,source
ably,capably,Open English WordNet 2025 synset
ably,competently,Open English WordNet 2025 synset
abnegate,deny,Open English WordNet 2025 synset
abnegation,denial,Open English WordNet 2025 synset
abnegation,self-abnegation,Open English WordNet 2025 synset
abnegation,self-denial,Open English WordNet 2025 synset
abnegation,self-renunciation,Open English WordNet 2025 synset
abnormal,unnatural,Open English WordNet 2025 synset
abnormalcy,abnormality,Open English WordNet 2025 synset
abnormality,abnormalcy,Open English WordNet 2025 synset
abnormality,freakishness,Open English WordNet 2025 synset
abnormality,irregularity,Open English WordNet 2025 synset
abnormality,mental defectiveness,Open English WordNet 2025 synset
aboard,alongside,Open English WordNet 2025 synset
aboard,on board,Open English WordNet 2025 synset
abode,domicile,Open English WordNet 2025 synset
abode,dwelling,Open English WordNet 2025 synset
abode,dwelling house,Open English WordNet 2025 synset
abode,habitation,Open English WordNet 2025 synset
abode,home,Open English WordNet 2025 synset
abode,residence,Open English WordNet 2025 synset
abolish,get rid of,Open English WordNet 2025 synset
abolishment,abolition,Open English WordNet 2025 synset
abolition,abolishment,Open English WordNet 2025 synset
abominable,atrocious,Open English WordNet 2025 synset
abominable,awful,Open English WordNet 2025 synset
abominable,detestable,Open English WordNet 2025 synset
abominable,dreadful,Open English WordNet 2025 synset
abominable,execrable,Open English WordNet 2025 synset
abominable,odious,Open English WordNet 2025 synset
abominable,painful,Open English WordNet 2025 synset
abominable,terrible,Open English WordNet 2025 synset
abominable,unspeakable,Open English WordNet 2025 synset
abominably,abysmally,Open English WordNet 2025 synset
abominably,atrociously,Open English WordNet 2025 synset
abominably,awfully,Open English WordNet 2025 synset
abominably,detestably,Open English WordNet 2025 synset
abominably,odiously,Open English WordNet 2025 synset
abominably,repulsively,Open English WordNet 2025 synset
abominably,rottenly,Open English WordNet 2025 synset
abominably,terribly,Open English WordNet 2025 synset
abominate,abhor,Open English WordNet 2025 synset
abominate,execrate,Open English WordNet 2025 synset
abominate,loathe,Open English WordNet 2025 synset
abomination,abhorrence,Open English WordNet 2025 synset
abomination,detestation,Open English WordNet 2025 synset
abomination,execration,Open English WordNet 2025 synset
abomination,loathing,Open English WordNet 2025 synset
abomination,odium,Open English WordNet 2025 synset
aboriginal,aborigine,Open English WordNet 2025 synset
aboriginal,indigen,Open English WordNet 2025 synset
aboriginal,indigene,Open English WordNet 2025 synset
aboriginal,native,Open English WordNet 2025 synset
aboriginal,primaeval,Open English WordNet 2025 synset
aboriginal,primal,Open English WordNet 2025 synset
aboriginal,primeval,Open English WordNet 2025 synset
aboriginal,primordial,Open English WordNet 2025 synset
aborigine,aboriginal,Open English WordNet 2025 synset
aborigine,indigen,Open English WordNet 2025 synset
aborigine,indigene,Open English WordNet 2025 synset
aborigine,native,Open English WordNet 2025 synset
abortion,miscarriage,Open English WordNet 2025 synset
abortive,stillborn,Open English WordNet 2025 synset
abortive,unsuccessful,Open English WordNet 2025 synset
about,almost,Open English WordNet 2025 synset
about,approximately,Open English WordNet 2025 synset
about,around,Open English WordNet 2025 synset
about,close to,Open English WordNet 2025 synset
about,just about,Open English WordNet 2025 synset
about,more or less,Open English WordNet 2025 synset
about,most,Open English WordNet 2025 synset
about,near,Open English WordNet 2025 synset
about,nearly,Open English WordNet 2025 synset
about,nigh,Open English WordNet 2025 synset
about,or so,Open English WordNet 2025 synset
about,roughly,Open English WordNet 2025 synset
about,some,Open English WordNet 2025 synset
about,virtually,Open English WordNet 2025 synset
about,well-nigh,Open English WordNet 2025 synset
about turn,about-face,Open English WordNet 2025 synset
about-face,about turn,Open English WordNet 2025 synset
about-face,policy change,Open English WordNet 2025 synset
about-face,reversal,Open English WordNet 2025 synset
about-face,volte-face,Open English WordNet 2025 synset
above,higher up,Open English WordNet 2025 synset
above,in a higher place,Open English WordNet 2025 synset
above,supra,Open English WordNet 2025 synset
above,to a higher place,Open English WordNet 2025 synset
above-mentioned,above-named,Open English WordNet 2025 synset
above-named,above-mentioned,Open English WordNet 2025 synset
abradant,abrader,Open English WordNet 2025 synset
abradant,abrasive,Open English WordNet 2025 synset
abradant,abrasive material,Open English WordNet 2025 synset
abrade,abrase,Open English WordNet 2025 synset
abrade,corrade,Open English WordNet 2025 synset
abrade,rub down,Open English WordNet 2025 synset
abrade,rub off,Open English WordNet 2025 synset
abrade,scour,Open English WordNet 2025 synset
abrader,abradant,Open English WordNet 2025 synset
abranchial,abranchiate,Open English WordNet 2025 synset
abranchial,abranchious,Open English WordNet 2025 synset
abranchial,gill-less,Open English WordNet 2025 synset
abranchiate,abranchial,Open English WordNet 2025 synset
abranchiate,abranchious,Open English WordNet 2025 synset
abranchiate,gill-less,Open English WordNet 2025 synset
abranchious,abranchial,Open English WordNet 2025 synset
abranchious,abranchiate,Open English WordNet 2025 synset
abranchious,gill-less,Open English WordNet 2025 synset
abrase,abrade,Open English WordNet 2025 synset
abrase,corrade,Open English WordNet 2025 synset
abrase,rub down,Open English WordNet 2025 synset
abrase,rub off,Open English WordNet 2025 synset
abrasion,attrition,Open English WordNet 2025 synset
abrasion,corrasion,Open English WordNet 2025 synset
abrasion,detrition,Open English WordNet 2025 synset
abrasion,excoriation,Open English WordNet 2025 synset
abrasion,grinding,Open English WordNet 2025 synset
abrasion,scrape,Open English WordNet 2025 synset
abrasion,scratch,Open English WordNet 2025 synset
abrasive,abradant,Open English WordNet 2025 synset
abrasive,abrasive material,Open English WordNet 2025 synset
abrasive,harsh,Open English WordNet 2025 synset
abrasive,scratchy,Open English WordNet 2025 synset
abrasive material,abradant,Open English WordNet 2025 synset
abrasive material,abrasive,Open English WordNet 2025 synset
abreaction,catharsis,Open English WordNet 2025 synset
abreaction,katharsis,Open English WordNet 2025 synset
abridge,abbreviate,Open English WordNet 2025 synset
abridge,contract,Open English WordNet 2025 synset
abridge,cut,Open English WordNet 2025 synset
abridge,foreshorten,Open English WordNet 2025 synset
abridge,reduce,Open English WordNet 2025 synset
abridge,shorten,Open English WordNet 2025 synset
abridgement,abridgment,Open English WordNet 2025 synset
abridgement,capsule,Open English WordNet 2025 synset
abridgement,condensation,Open English WordNet 2025 synset
abridgment,abridgement,Open English WordNet 2025 synset
abridgment,capsule,Open English WordNet 2025 synset
abridgment,condensation,Open English WordNet 2025 synset
abroad,afield,Open English WordNet 2025 synset
abroad,overseas,Open English WordNet 2025 synset
abrogation,annulment,Open English WordNet 2025 synset
abrogation,repeal,Open English WordNet 2025 synset
abrupt,disconnected,Open English WordNet 2025 synset
abrupt,precipitous,Open English WordNet 2025 synset
abrupt,sharp,Open English WordNet 2025 synset
abruption,breaking off,Open English WordNet 2025 synset
abruptness,brusqueness,Open English WordNet 2025 synset
abruptness,curtness,Open English WordNet 2025 synset
abruptness,gruffness,Open English WordNet 2025 synset
abruptness,precipitance,Open English WordNet 2025 synset
abruptness,precipitancy,Open English WordNet 2025 synset
abruptness,precipitateness,Open English WordNet 2025 synset
abruptness,precipitousness,Open English WordNet 2025 synset
abruptness,shortness,Open English WordNet 2025 synset
abruptness,steepness,Open English WordNet 2025 synset
abruptness,suddenness,Open English WordNet 2025 synset
abscission,cutting off,Open English WordNet 2025 synset
abscond,absquatulate,Open English WordNet 2025 synset
abscond,bolt,Open English WordNet 2025 synset
abscond,decamp,Open English WordNet 2025 synset
abscond,go off,Open English WordNet 2025 synset
abscond,make off,Open English WordNet 2025 synset
abscond,run off,Open English WordNet 2025 synset
abscondment,decampment,Open English WordNet 2025 synset
absence,absence seizure,Open English WordNet 2025 synset
absence seizure,absence,Open English WordNet 2025 synset
absent,lacking,Open English WordNet 2025 synset
absent,missing,Open English WordNet 2025 synset
absent,wanting,Open English WordNet 2025 synset
absently,absentmindedly,Open English WordNet 2025 synset
absently,abstractedly,Open English WordNet 2025 synset
absently,inattentively,Open English WordNet 2025 synset
absentmindedly,absently,Open English WordNet 2025 synset
absentmindedly,abstractedly,Open English WordNet 2025 synset
absentmindedly,inattentively,Open English WordNet 2025 synset
absolute,downright,Open English WordNet 2025 synset
absolute,infrangible,Open English WordNet 2025 synset
absolute,inviolable,Open English WordNet 2025 synset
absolute,out-and-out,Open English WordNet 2025 synset
absolute,rank,Open English WordNet 2025 synset
absolute,right-down,Open English WordNet 2025 synset
absolute,sheer,Open English WordNet 2025 synset
absolute frequency,frequency,Open English WordNet 2025 synset
absolute majority,majority,Open English WordNet 2025 synset
absolutely,dead,Open English WordNet 2025 synset
absolutely,perfectly,Open English WordNet 2025 synset
absolutely,utterly,Open English WordNet 2025 synset
absoluteness,starkness,Open English WordNet 2025 synset
absoluteness,utterness,Open English WordNet 2025 synset
absolution,remission,Open English WordNet 2025 synset
absolution,remission of sin,Open English WordNet 2025 synset
absolution,remittal,Open English WordNet 2025 synset
absolutism,authoritarianism,Open English WordNet 2025 synset
absolutism,caesarism,Open English WordNet 2025 synset
absolutism,despotism,Open English WordNet 2025 synset
absolutism,dictatorship,Open English WordNet 2025 synset
absolutism,monocracy,Open English WordNet 2025 synset
absolutism,one-man rule,Open English WordNet 2025 synset
absolutism,shogunate,Open English WordNet 2025 synset
absolutism,stalinism,Open English WordNet 2025 synset
absolutism,totalism,Open English WordNet 2025 synset
absolutism,totalitarianism,Open English WordNet 2025 synset
absolutism,tyranny,Open English WordNet 2025 synset
absolve,free,Open English WordNet 2025 synset
absolve,shrive,Open English WordNet 2025 synset
absolved,clear,Open English WordNet 2025 synset
absolved,cleared,Open English WordNet 2025 synset
absolved,exculpated,Open English WordNet 2025 synset
absolved,exonerated,Open English WordNet 2025 synset
absolved,vindicated,Open English WordNet 2025 synset
absolvitory,exonerative,Open English WordNet 2025 synset
absolvitory,forgiving,Open English WordNet 2025 synset
absorb,assimilate,Open English WordNet 2025 synset
absorb,draw,Open English WordNet 2025 synset
absorb,engage,Open English WordNet 2025 synset
absorb,engross,Open English WordNet 2025 synset
absorb,engulf,Open English WordNet 2025 synset
absorb,imbibe,Open English WordNet 2025 synset
absorb,immerse,Open English WordNet 2025 synset
absorb,ingest,Open English WordNet 2025 synset
absorb,occupy,Open English WordNet 2025 synset
absorb,plunge,Open English WordNet 2025 synset
absorb,soak up,Open English WordNet 2025 synset
absorb,sop up,Open English WordNet 2025 synset
absorb,steep,Open English WordNet 2025 synset
absorb,suck,Open English WordNet 2025 synset
absorb,suck up,Open English WordNet 2025 synset
absorb,take in,Open English WordNet 2025 synset
absorb,take up,Open English WordNet 2025 synset
absorbed,captive,Open English WordNet 2025 synset
absorbed,engrossed,Open English WordNet 2025 synset
absorbed,enwrapped,Open English WordNet 2025 synset
absorbed,intent,Open English WordNet 2025 synset
absorbed,rapt,Open English WordNet 2025 synset
absorbed,wrapped,Open English WordNet 2025 synset
absorbent,absorptive,Open English WordNet 2025 synset
absorbing,engrossing,Open English WordNet 2025 synset
absorbing,fascinating,Open English WordNet 2025 synset
absorbing,gripping,Open English WordNet 2025 synset
absorbing,riveting,Open English WordNet 2025 synset
absorption,assimilation,Open English WordNet 2025 synset
absorption,concentration,Open English WordNet 2025 synset
absorption,engrossment,Open English WordNet 2025 synset
absorption,immersion,Open English WordNet 2025 synset
absorption,preoccupancy,Open English WordNet 2025 synset
absorption,preoccupation,Open English WordNet 2025 synset
absorption factor,absorptivity,Open English WordNet 2025 synset
absorptive,absorbent,Open English WordNet 2025 synset
absorptivity,absorption factor,Open English WordNet 2025 synset
absquatulate,abscond,Open English WordNet 2025 synset
absquatulate,bolt,Open English WordNet 2025 synset
absquatulate,decamp,Open English WordNet 2025 synset
absquatulate,go off,Open English WordNet 2025 synset
absquatulate,make off,Open English WordNet 2025 synset
absquatulate,run off,Open English WordNet 2025 synset
abstain,desist,Open English WordNet 2025 synset
abstain,refrain,Open English WordNet 2025 synset
abstainer,abstinent,Open English WordNet 2025 synset
abstainer,ascetic,Open English WordNet 2025 synset
abstainer,nondrinker,Open English WordNet 2025 synset
abstemious,light,Open English WordNet 2025 synset
abstention,abstinence,Open English WordNet 2025 synset
abstentious,abstinent,Open English WordNet 2025 synset
abstinence,abstention,Open English WordNet 2025 synset
abstinent,abstainer,Open English WordNet 2025 synset
abstinent,abstentious,Open English WordNet 2025 synset
abstinent,nondrinker,Open English WordNet 2025 synset
abstract,abstraction,Open English WordNet 2025 synset
abstract,cabbage,Open English WordNet 2025 synset
abstract,filch,Open English WordNet 2025 synset
abstract,hook,Open English WordNet 2025 synset
abstract,lift,Open English WordNet 2025 synset
abstract,nobble,Open English WordNet 2025 synset
abstract,outline,Open English WordNet 2025 synset
abstract,pilfer,Open English WordNet 2025 synset
abstract,pinch,Open English WordNet 2025 synset
abstract,precis,Open English WordNet 2025 synset
abstract,purloin,Open English WordNet 2025 synset
abstract,snarf,Open English WordNet 2025 synset
abstract,sneak,Open English WordNet 2025 synset
abstract,swipe,Open English WordNet 2025 synset
abstract,synopsis,Open English WordNet 2025 synset
abstract entity,abstraction,Open English WordNet 2025 synset
abstract thought,logical thinking,Open English WordNet 2025 synset
abstract thought,reasoning,Open English WordNet 2025 synset
abstractedly,absently,Open English WordNet 2025 synset
abstractedly,absentmindedly,Open English WordNet 2025 synset
abstractedly,inattentively,Open English WordNet 2025 synset
abstractedness,abstraction,Open English WordNet 2025 synset
abstracter,abstractor,Open English WordNet 2025 synset
abstraction,abstract,Open English WordNet 2025 synset
abstraction,abstract entity,Open English WordNet 2025 synset
abstraction,abstractedness,Open English WordNet 2025 synset
abstraction,generalisation,Open English WordNet 2025 synset
abstraction,generalization,Open English WordNet 2025 synset
abstractor,abstracter,Open English WordNet 2025 synset
abstruse,deep,Open English WordNet 2025 synset
abstruse,recondite,Open English WordNet 2025 synset
abstruseness,obscureness,Open English WordNet 2025 synset
abstruseness,obscurity,Open English WordNet 2025 synset
abstruseness,reconditeness,Open English WordNet 2025 synset
absurd,cockeyed,Open English WordNet 2025 synset
absurd,derisory,Open English WordNet 2025 synset
absurd,idiotic,Open English WordNet 2025 synset
absurd,laughable,Open English WordNet 2025 synset
absurd,ludicrous,Open English WordNet 2025 synset
absurd,nonsensical,Open English WordNet 2025 synset
absurd,preposterous,Open English WordNet 2025 synset
absurd,ridiculous,Open English WordNet 2025 synset
absurdity,absurdness,Open English WordNet 2025 synset
absurdity,fatuity,Open English WordNet 2025 synset
absurdity,fatuousness,Open English WordNet 2025 synset
absurdity,ridiculousness,Open English WordNet 2025 synset
absurdity,silliness,Open English WordNet 2025 synset
absurdness,absurdity,Open English WordNet 2025 synset
absurdness,ridiculousness,Open English WordNet 2025 synset
abuse,contumely,Open English WordNet 2025 synset
abuse,ill-treatment,Open English WordNet 2025 synset
abuse,ill-usage,Open English WordNet 2025 synset
abuse,insult,Open English WordNet 2025 synset
abuse,maltreatment,Open English WordNet 2025 synset
abuse,revilement,Open English WordNet 2025 synset
abuse,vilification,Open English WordNet 2025 synset
abusive,opprobrious,Open English WordNet 2025 synset
abusive,scurrilous,Open English WordNet 2025 synset
abut,adjoin,Open English WordNet 2025 synset
abut,border,Open English WordNet 2025 synset
abut,butt,Open English WordNet 2025 synset
abut,butt against,Open English WordNet 2025 synset
abut,butt on,Open English WordNet 2025 synset
abut,edge,Open English WordNet 2025 synset
abut,march,Open English WordNet 2025 synset
abuzz,buzzing,Open English WordNet 2025 synset
aby,abye,Open English WordNet 2025 synset
aby,atone,Open English WordNet 2025 synset
aby,expiate,Open English WordNet 2025 synset
abye,aby,Open English WordNet 2025 synset
abye,atone,Open English WordNet 2025 synset
abye,expiate,Open English WordNet 2025 synset
abysm,abyss,Open English WordNet 2025 synset
abysmal,abyssal,Open English WordNet 2025 synset
abysmal,unfathomable,Open English WordNet 2025 synset
abysmally,abominably,Open English WordNet 2025 synset
abysmally,atrociously,Open English WordNet 2025 synset
abysmally,awfully,Open English WordNet 2025 synset
abysmally,rottenly,Open English WordNet 2025 synset
abysmally,terribly,Open English WordNet 2025 synset
abyss,abysm,Open English WordNet 2025 synset
abyssal,abysmal,Open English WordNet 2025 synset
abyssal,unfathomable,Open English WordNet 2025 synset
ac,actinium,Open English WordNet 2025 synset
acacia catechu,catechu,Open English WordNet 2025 synset
acacia catechu,jerusalem thorn,Open English WordNet 2025 synset
academe,academia,Open English WordNet 2025 synset
academia,academe,Open English WordNet 2025 synset
academic,academician,Open English WordNet 2025 synset
academic,donnish,Open English WordNet 2025 synset
academic,faculty member,Open English WordNet 2025 synset
academic,pedantic,Open English WordNet 2025 synset
academic degree,degree,Open English WordNet 2025 synset
academic session,academic term,Open English WordNet 2025 synset
academic session,school term,Open English WordNet 2025 synset
academic session,session,Open English WordNet 2025 synset
academic term,academic session,Open English WordNet 2025 synset
academic term,school term,Open English WordNet 2025 synset
academic term,session,Open English WordNet 2025 synset
academician,academic,Open English WordNet 2025 synset
academician,faculty member,Open English WordNet 2025 synset
academy,honorary society,Open English WordNet 2025 synset
acantha,spine,Open English WordNet 2025 synset
acantha,spur,Open English WordNet 2025 synset
acaudal,acaudate,Open English WordNet 2025 synset
acaudate,acaudal,Open English WordNet 2025 synset
accede,acquiesce,Open English WordNet 2025 synset
accede,assent,Open English WordNet 2025 synset
accede,bow,Open English WordNet 2025 synset
accede,defer,Open English WordNet 2025 synset
accede,enter,Open English WordNet 2025 synset
accede,give in,Open English WordNet 2025 synset
accede,submit,Open English WordNet 2025 synset
accelerate,quicken,Open English WordNet 2025 synset
accelerate,speed,Open English WordNet 2025 synset
accelerate,speed up,Open English WordNet 2025 synset
acceleration,quickening,Open English WordNet 2025 synset
acceleration,speedup,Open English WordNet 2025 synset
accelerative,acceleratory,Open English WordNet 2025 synset
accelerator,accelerator pedal,Open English WordNet 2025 synset
accelerator,atom smasher,Open English WordNet 2025 synset
accelerator,catalyst,Open English WordNet 2025 synset
accelerator,gas,Open English WordNet 2025 synset
accelerator,gas pedal,Open English WordNet 2025 synset
accelerator,gun,Open English WordNet 2025 synset
accelerator,particle accelerator,Open English WordNet 2025 synset
accelerator,throttle,Open English WordNet 2025 synset
accelerator,throttle valve,Open English WordNet 2025 synset
accelerator pedal,accelerator,Open English WordNet 2025 synset
accelerator pedal,gas,Open English WordNet 2025 synset
accelerator pedal,gas pedal,Open English WordNet 2025 synset
accelerator pedal,gun,Open English WordNet 2025 synset
accelerator pedal,throttle,Open English WordNet 2025 synset
acceleratory,accelerative,Open English WordNet 2025 synset
accent,accentuate,Open English WordNet 2025 synset
accent,dialect,Open English WordNet 2025 synset
accent,emphasis,Open English WordNet 2025 synset
accent,emphasise,Open English WordNet 2025 synset
accent,emphasize,Open English WordNet 2025 synset
accent,idiom,Open English WordNet 2025 synset
accent,punctuate,Open English WordNet 2025 synset
accent,stress,Open English WordNet 2025 synset
accenting,accentuation,Open English WordNet 2025 synset
accenting,emphasizing,Open English WordNet 2025 synset
accentuate,accent,Open English WordNet 2025 synset
accentuate,emphasise,Open English WordNet 2025 synset
accentuate,emphasize,Open English WordNet 2025 synset
accentuate,punctuate,Open English WordNet 2025 synset
accentuate,stress,Open English WordNet 2025 synset
accentuation,accenting,Open English WordNet 2025 synset
accentuation,emphasizing,Open English WordNet 2025 synset
accept,admit,Open English WordNet 2025 synset
accept,assume,Open English WordNet 2025 synset
accept,bear,Open English WordNet 2025 synset
accept,consent,Open English WordNet 2025 synset
accept,go for,Open English WordNet 2025 synset
accept,have,Open English WordNet 2025 synset
accept,live with,Open English WordNet 2025 synset
accept,swallow,Open English WordNet 2025 synset
accept,take,Open English WordNet 2025 synset
accept,take on,Open English WordNet 2025 synset
accept,take over,Open English WordNet 2025 synset
acceptability,acceptableness,Open English WordNet 2025 synset
acceptable,decent,Open English WordNet 2025 synset
acceptable,satisfactory,Open English WordNet 2025 synset
acceptableness,acceptability,Open English WordNet 2025 synset
acceptance,acceptation,Open English WordNet 2025 synset
acceptance,adoption,Open English WordNet 2025 synset
acceptance,banker's acceptance,Open English WordNet 2025 synset
acceptance,credence,Open English WordNet 2025 synset
acceptance,espousal,Open English WordNet 2025 synset
acceptance,sufferance,Open English WordNet 2025 synset
acceptance,toleration,Open English WordNet 2025 synset
acceptant,acceptive,Open English WordNet 2025 synset
acceptation,acceptance,Open English WordNet 2025 synset
acceptation,adoption,Open English WordNet 2025 synset
acceptation,espousal,Open English WordNet 2025 synset
acceptation,word meaning,Open English WordNet 2025 synset
acceptation,word sense,Open English WordNet 2025 synset
acceptive,acceptant,Open English WordNet 2025 synset
access,access code,Open English WordNet 2025 synset
