question_uuid,question_id,subject_uuid,subject_id,equivalent_no,question_text,answer_template,option_a,option_b,option_c,option_d,option_count,is_active
3e8b331b-9aed-5fd5-b4ae-fb67dd0becb4,S02_Q003,756976a5-169c-5ad4-b7f9-3277107b702e,2,3,Ali and Emma are classmates. ___ study together.,___ study together.,We,She,He,They,4,true
ebbb16b0-6538-51ed-a9b0-53c9b78e25db,S02_Q004,756976a5-169c-5ad4-b7f9-3277107b702e,2,4,My friend and I are at school. ___ are waiting.,___ are waiting.,They,You,I,We,4,true
71b710e6-4669-53e8-8565-8cdeedaf0091,S02_Q005,756976a5-169c-5ad4-b7f9-3277107b702e,2,5,The book is on the table. ___ is new.,___ is new.,He,She,It,They,4,true
69258453-3e7c-5c94-abc7-92cc21603a45,S02_Q006,756976a5-169c-5ad4-b7f9-3277107b702e,2,6,Sara is my friend. ___ is very kind.,___ is very kind.,He,They,She,We,4,true
df3b5eed-e024-52c1-a244-03b745a23f91,S02_Q007,756976a5-169c-5ad4-b7f9-3277107b702e,2,7,Tom is my brother. ___ is a student.,___ is a student.,It,He,They,She,4,true
cd49b310-df57-5949-b2a2-4b6ec9b5e1ed,S02_Q008,756976a5-169c-5ad4-b7f9-3277107b702e,2,8,Tom and Lucy are classmates. ___ study together.,___ study together.,They,She,He,We,4,true
4aea26f5-8e24-5885-abf6-0f8309dd3eec,S02_Q009,756976a5-169c-5ad4-b7f9-3277107b702e,2,9,My friend and I are at the office. ___ are waiting.,___ are waiting.,They,We,You,I,4,true
9e70c856-7a4a-518b-86f9-7187298a9168,S02_Q010,756976a5-169c-5ad4-b7f9-3277107b702e,2,10,The phone is on the table. ___ is new.,___ is new.,It,She,They,He,4,true
50de582a-4a59-5d90-a0c6-e52235aa7726,S02_Q011,756976a5-169c-5ad4-b7f9-3277107b702e,2,11,Mary is my friend. ___ is very kind.,___ is very kind.,They,She,We,He,4,true
e6dbea88-9da5-5318-a7c5-b54f36be3d26,S02_Q012,756976a5-169c-5ad4-b7f9-3277107b702e,2,12,John is my brother. ___ is a student.,___ is a student.,It,They,She,He,4,true
d871186a-e1cf-590b-9008-b0d76d34076c,S02_Q013,756976a5-169c-5ad4-b7f9-3277107b702e,2,13,John and Kate are classmates. ___ study together.,___ study together.,He,We,They,She,4,true
5b9280af-bf55-5ec8-86bf-4071d1cf8b37,S02_Q014,756976a5-169c-5ad4-b7f9-3277107b702e,2,14,My friend and I are at the library. ___ are waiting.,___ are waiting.,We,They,You,I,4,true
efff1aee-0648-5603-bedc-4f8355047a03,S02_Q015,756976a5-169c-5ad4-b7f9-3277107b702e,2,15,The bag is on the table. ___ is new.,___ is new.,He,They,She,It,4,true
f57ff744-b755-5b0c-88d5-d6b87deb8eb2,S02_Q016,756976a5-169c-5ad4-b7f9-3277107b702e,2,16,Emma is my friend. ___ is very kind.,___ is very kind.,She,He,They,We,4,true
4c9cc8e7-5f66-557d-9705-614de44f3bc5,S02_Q017,756976a5-169c-5ad4-b7f9-3277107b702e,2,17,David is my brother. ___ is a student.,___ is a student.,He,They,It,She,4,true
bf0b55da-6130-5ac5-9358-6df30d44e95b,S02_Q018,756976a5-169c-5ad4-b7f9-3277107b702e,2,18,David and Sofia are classmates. ___ study together.,___ study together.,He,She,They,We,4,true
e5dc4a93-f0b0-5685-8f84-9f040759afd9,S02_Q019,756976a5-169c-5ad4-b7f9-3277107b702e,2,19,My friend and I are at the park. ___ are waiting.,___ are waiting.,I,You,We,They,4,true
85aa0eeb-1d2a-5117-aa5b-ac354d92e649,S02_Q020,756976a5-169c-5ad4-b7f9-3277107b702e,2,20,The key is on the table. ___ is new.,___ is new.,It,They,She,He,4,true
fe8d5f9f-91cb-5c71-a2a4-86c301544f74,S02_Q021,756976a5-169c-5ad4-b7f9-3277107b702e,2,21,Lucy is my friend. ___ is very kind.,___ is very kind.,She,He,They,We,4,true
ae02f0c2-b675-5a3f-8758-8be2489c1ab3,S02_Q022,756976a5-169c-5ad4-b7f9-3277107b702e,2,22,Michael is my brother. ___ is a student.,___ is a student.,He,It,She,They,4,true
68979446-c1d7-52b7-affb-f3234f5b713b,S02_Q023,756976a5-169c-5ad4-b7f9-3277107b702e,2,23,Michael and Lina are classmates. ___ study together.,___ study together.,They,We,He,She,4,true
4b051d0d-d892-5163-8b53-be2802715525,S02_Q024,756976a5-169c-5ad4-b7f9-3277107b702e,2,24,My friend and I are at the station. ___ are waiting.,___ are waiting.,I,They,We,You,4,true
f6311047-76d2-5528-a1ad-7bd9a382f86d,S02_Q025,756976a5-169c-5ad4-b7f9-3277107b702e,2,25,The pen is on the table. ___ is new.,___ is new.,They,He,She,It,4,true
f96abda3-4b3e-5a12-9888-791a4249a9b8,S02_Q026,756976a5-169c-5ad4-b7f9-3277107b702e,2,26,Kate is my friend. ___ is very kind.,___ is very kind.,They,We,He,She,4,true
c4e7d004-c3c2-5b34-869f-568f0bd26536,S02_Q027,756976a5-169c-5ad4-b7f9-3277107b702e,2,27,Peter is my brother. ___ is a student.,___ is a student.,They,It,She,He,4,true
f5d67eb4-941d-5b7e-878a-f4ba56700535,S02_Q028,756976a5-169c-5ad4-b7f9-3277107b702e,2,28,Peter and Mia are classmates. ___ study together.,___ study together.,We,She,They,He,4,true
6802b703-0289-5815-a105-c9a7a7fbb166,S02_Q029,756976a5-169c-5ad4-b7f9-3277107b702e,2,29,My friend and I are at the café. ___ are waiting.,___ are waiting.,I,We,They,You,4,true
83d77a8f-ea5d-5e85-9e0e-7b7ed9f6512b,S02_Q030,756976a5-169c-5ad4-b7f9-3277107b702e,2,30,The laptop is on the table. ___ is new.,___ is new.,It,They,He,She,4,true
46ab4fb2-ac6f-54ff-ac26-b082d49c3085,S02_Q031,756976a5-169c-5ad4-b7f9-3277107b702e,2,31,Sofia is my friend. ___ is very kind.,___ is very kind.,She,They,We,He,4,true
978b2925-407e-5564-9bbd-602bc5882ed0,S02_Q032,756976a5-169c-5ad4-b7f9-3277107b702e,2,32,Daniel is my brother. ___ is a student.,___ is a student.,It,She,They,He,4,true
d5595b20-3b37-5468-9475-8cebb7d7b49e,S02_Q033,756976a5-169c-5ad4-b7f9-3277107b702e,2,33,Daniel and Nora are classmates. ___ study together.,___ study together.,We,He,They,She,4,true
8cf5bb39-00e1-565d-aaff-741eff484f30,S02_Q034,756976a5-169c-5ad4-b7f9-3277107b702e,2,34,My friend and I are at the hospital. ___ are waiting.,___ are waiting.,You,I,They,We,4,true
4d24013c-089b-5c5d-becf-a8233ba8ed47,S02_Q035,756976a5-169c-5ad4-b7f9-3277107b702e,2,35,The ticket is on the table. ___ is new.,___ is new.,He,They,It,She,4,true
344f1b17-6e16-5f85-a870-4dbd277fcafc,S02_Q036,756976a5-169c-5ad4-b7f9-3277107b702e,2,36,Lina is my friend. ___ is very kind.,___ is very kind.,We,He,They,She,4,true
c67288de-6c7d-58c8-8d3a-f1c49a0b164a,S02_Q037,756976a5-169c-5ad4-b7f9-3277107b702e,2,37,Sam is my brother. ___ is a student.,___ is a student.,She,He,It,They,4,true
83f14876-187b-5d3c-8c58-ecfce325e14c,S02_Q038,756976a5-169c-5ad4-b7f9-3277107b702e,2,38,Sam and Aziza are classmates. ___ study together.,___ study together.,He,She,We,They,4,true
206236f2-12c8-53e4-940c-10912e5e177b,S02_Q039,756976a5-169c-5ad4-b7f9-3277107b702e,2,39,My friend and I are at the market. ___ are waiting.,___ are waiting.,They,We,I,You,4,true
1854ac80-a5de-5b79-a8a8-6cabc84ef101,S02_Q040,756976a5-169c-5ad4-b7f9-3277107b702e,2,40,The passport is on the table. ___ is new.,___ is new.,It,He,She,They,4,true
